year,province,career_path_name,earnedIncome,prov_tax_amt,fed_tax_amt,tax_amt,current_endevor,afterTaxIncome,afterTaxAndCostsIncome,amtSavedThisYear,expenditureBias,Housing,Food,Transportation,educationCost,totalLivingCosts,contributions,investment_low,investment_avg,investment_high,investment_developTradingBot,yrs_Programming & Software Development,yrs_Version Control (Git),yrs_System Design & Architecture,yrs_Agile & DevOps Practices,yrs_Network Security,yrs_Security Monitoring & SIEM,yrs_Incident Response,yrs_Threat Analysis & Intelligence,yrs_Vulnerability Assessment,yrs_IT Consulting & Client Engagement,yrs_Business Process Analysis,yrs_Project Management,yrs_Enterprise Systems & ERP,yrs_PLC & Control System Programming,yrs_Instrumentation Calibration & Maintenance,yrs_Process Control & SCADA,yrs_Electrical Systems & Wiring,yrs_Industrial Cybersecurity,yrs_OT/IT Network Integration,yrs_Risk Assessment & Compliance (OT)
2026,Alberta,Cybersecurity Focus,57000.0,4560.0,7980.000000000001,12540.0,SOC Level 1 Analyst,44460.0,6660.0,6660.0,0.0,19200.0,10440.0,8160.0,0.0,37800.0,6660.0,6660.0,6660.0,6660.0,6660.0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2027,Alberta,Cybersecurity Focus,59884.2,4790.736,8472.266,13263.002,SOC Level 1 Analyst,46621.198,7169.998,7169.998,0.0,20256.0,10774.08,8421.119999999999,0.0,39451.2,7169.998,14162.998,14495.998,14828.998,15827.998,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
2028,Alberta,Cybersecurity Focus,62914.34051999999,5067.434051999999,9093.444806599999,14160.878858599997,SOC Level 1 Analyst,48753.4616614,7573.935261400002,7573.935261400002,0.0,21370.079999999998,11118.850559999999,8690.59584,0.0,41179.526399999995,7573.935261400002,22445.0831614,23519.533061400005,24627.2829614,28150.332661400003,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
2029,Alberta,Cybersecurity Focus,66097.806150312,5385.7806150312,9746.05526081396,15131.835875845161,SOC Level 1 Analyst,50965.97027446683,7977.187189666831,7977.187189666831,0.0,22545.4344,11474.65377792,8968.694906880002,0.0,42988.7830848,7977.187189666831,31544.524509136834,33848.67355720684,36298.56259527683,44572.619649486835,0,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0
2030,Alberta,Cybersecurity Focus,97462.95458458636,8522.295458458637,16175.910689840206,24698.206148298843,SOC Level 2 Analyst,72764.74843628751,27881.779301573915,27881.779301573915,0.0,23785.433291999994,11841.842698813442,9255.69314390016,0.0,44882.969134713596,27881.779301573915,61003.53003616759,65115.320214501444,69625.12628614227,85826.1848459068,1,0,0,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0
2031,Alberta,Cybersecurity Focus,102394.58008656642,9015.458008656642,17186.893917746114,26202.351926402756,SOC Level 2 Analyst,76192.22816016366,29325.939047423228,29325.939047423228,0.0,25093.632123059997,12220.781665175473,9551.875324504967,0.0,46866.28911274044,29325.939047423228,93379.64558539921,100952.79128337483,109394.83427648683,140899.97934710208,2,0,0,0,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0
2032,Alberta,Cybersecurity Focus,107575.74583894669,9533.57458389467,18249.03289698407,27782.607480878738,SOC Level 2 Analyst,79793.13835806795,30849.974454889452,30849.974454889452,0.0,26473.78188982829,12611.846678461088,9857.535334889126,0.0,48943.1639031785,30849.974454889452,128898.60231955863,141898.04486660176,156654.0338728493,214019.94760612218,3,0,0,0,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0
2033,Alberta,Cybersecurity Focus,113019.07857839738,10077.907857839738,19364.916108571466,29442.823966411204,SOC Level 2 Analyst,83576.25461198618,32458.012480439917,32458.012480439917,0.0,27929.839893768847,13015.42577217184,10172.976465605578,0.0,51118.24213154626,32458.012480439917,167801.54491597647,188545.86183370187,212610.1514342166,310683.94436839875,4,0,0,0,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0
2034,Alberta,Cybersecurity Focus,118737.8439544643,10649.78439544643,20630.36942816072,31280.15382360715,SOC Level 2 Analyst,87457.69013085715,34061.27793354473,34061.27793354473,0.0,29465.981087926128,13431.919396881343,10498.511712504956,0.0,53396.41219731243,34061.27793354473,210252.90009532002,241461.72595061682,278562.9520828938,437950.4056124631,5,0,0,0,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0
2035,Alberta,Cybersecurity Focus,124745.9788585602,11250.59788585602,22192.48450322565,33443.08238908167,SOC Level 2 Analyst,91302.89646947852,35520.0815168298,35520.0815168298,0.0,31086.610047762064,13861.740817581544,10834.464087305114,0.0,55782.814952648725,35520.0815168298,256285.6266169158,301127.9800625083,355867.47641215764,604855.6088130318,6,0,0,0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
