educationDataID,educationID,province,expectedCost,expectedEarnings,years
1,1,Alberta,21000,52500,3
2,2,Alberta,31500,89250,2
3,3,Alberta,47250,115500,4
4,1,British Columbia,22000,55000,3
5,2,British Columbia,33000,93500,2
6,3,British Columbia,49500,121000,4
7,1,Manitoba,19000,47500,3
8,2,Manitoba,28500,80750,2
9,3,Manitoba,42750,104500,4
10,1,New Brunswick,18000,45000,3
11,2,New Brunswick,27000,76500,2
12,3,New Brunswick,40500,99000,4
13,1,Newfoundland and Labrador,18000,45000,3
14,2,Newfoundland and Labrador,27000,76500,2
15,3,Newfoundland and Labrador,40500,99000,4
16,1,Nova Scotia,18400,46000,3
17,2,Nova Scotia,27600,78200,2
18,3,Nova Scotia,41400,101200,4
19,1,Ontario,23000,57500,3
20,2,Ontario,34500,97750,2
21,3,Ontario,51750,126500,4
22,1,Prince Edward Island,17600,44000,3
23,2,Prince Edward Island,26400,74800,2
24,3,Prince Edward Island,39600,96800,4
25,1,Quebec,16000,40000,3
26,2,Quebec,24000,68000,2
27,3,Quebec,36000,88000,4
28,1,Saskatchewan,18600,46500,3
29,2,Saskatchewan,27900,79050,2
30,3,Saskatchewan,41850,102300,4
