edHistoryID,careerPathID,educationDataID,startDate,endDate
1,2,1,2026-01-01,2029-01-01
2,3,2,2026-01-01,2028-01-01
3,3,3,2028-01-01,2032-01-01
4,5,4,2026-01-01,2029-01-01
5,6,5,2026-01-01,2028-01-01
6,6,6,2028-01-01,2032-01-01
7,8,7,2026-01-01,2029-01-01
8,9,8,2026-01-01,2028-01-01
9,9,9,2028-01-01,2032-01-01
10,11,10,2026-01-01,2029-01-01
11,12,11,2026-01-01,2028-01-01
12,12,12,2028-01-01,2032-01-01
13,14,13,2026-01-01,2029-01-01
14,15,14,2026-01-01,2028-01-01
15,15,15,2028-01-01,2032-01-01
16,17,16,2026-01-01,2029-01-01
17,18,17,2026-01-01,2028-01-01
18,18,18,2028-01-01,2032-01-01
19,20,19,2026-01-01,2029-01-01
20,21,20,2026-01-01,2028-01-01
21,21,21,2028-01-01,2032-01-01
22,23,22,2026-01-01,2029-01-01
23,24,23,2026-01-01,2028-01-01
24,24,24,2028-01-01,2032-01-01
25,26,25,2026-01-01,2029-01-01
26,27,26,2026-01-01,2028-01-01
27,27,27,2028-01-01,2032-01-01
28,29,28,2026-01-01,2029-01-01
29,30,29,2026-01-01,2028-01-01
30,30,30,2028-01-01,2032-01-01
