empID,careerPathID,jobDataID,startDate,endDate
1,1,29,2026-01-01,2029-01-01
2,1,39,2029-01-01,2036-01-01
3,1,89,2036-01-01,2076-01-01
4,2,69,2029-01-01,2033-01-01
5,2,79,2033-01-01,2044-01-01
6,2,89,2044-01-01,2076-01-01
7,3,29,2032-01-01,2035-01-01
8,3,39,2035-01-01,2042-01-01
9,3,89,2042-01-01,2076-01-01
10,4,30,2026-01-01,2029-01-01
11,4,40,2029-01-01,2036-01-01
12,4,90,2036-01-01,2076-01-01
13,5,70,2029-01-01,2033-01-01
14,5,80,2033-01-01,2044-01-01
15,5,90,2044-01-01,2076-01-01
16,6,30,2032-01-01,2035-01-01
17,6,40,2035-01-01,2042-01-01
18,6,90,2042-01-01,2076-01-01
19,7,27,2026-01-01,2029-01-01
20,7,37,2029-01-01,2036-01-01
21,7,87,2036-01-01,2076-01-01
22,8,67,2029-01-01,2033-01-01
23,8,77,2033-01-01,2044-01-01
24,8,87,2044-01-01,2076-01-01
25,9,27,2032-01-01,2035-01-01
26,9,37,2035-01-01,2042-01-01
27,9,87,2042-01-01,2076-01-01
28,10,22,2026-01-01,2029-01-01
29,10,32,2029-01-01,2036-01-01
30,10,82,2036-01-01,2076-01-01
31,11,62,2029-01-01,2033-01-01
32,11,72,2033-01-01,2044-01-01
33,11,82,2044-01-01,2076-01-01
34,12,22,2032-01-01,2035-01-01
35,12,32,2035-01-01,2042-01-01
36,12,82,2042-01-01,2076-01-01
37,13,24,2026-01-01,2029-01-01
38,13,34,2029-01-01,2036-01-01
39,13,84,2036-01-01,2076-01-01
40,14,64,2029-01-01,2033-01-01
41,14,74,2033-01-01,2044-01-01
42,14,84,2044-01-01,2076-01-01
43,15,24,2032-01-01,2035-01-01
44,15,34,2035-01-01,2042-01-01
45,15,84,2042-01-01,2076-01-01
46,16,21,2026-01-01,2029-01-01
47,16,31,2029-01-01,2036-01-01
48,16,81,2036-01-01,2076-01-01
49,17,61,2029-01-01,2033-01-01
50,17,71,2033-01-01,2044-01-01
51,17,81,2044-01-01,2076-01-01
52,18,21,2032-01-01,2035-01-01
53,18,31,2035-01-01,2042-01-01
54,18,81,2042-01-01,2076-01-01
55,19,26,2026-01-01,2029-01-01
56,19,36,2029-01-01,2036-01-01
57,19,86,2036-01-01,2076-01-01
58,20,66,2029-01-01,2033-01-01
59,20,76,2033-01-01,2044-01-01
60,20,86,2044-01-01,2076-01-01
61,21,26,2032-01-01,2035-01-01
62,21,36,2035-01-01,2042-01-01
63,21,86,2042-01-01,2076-01-01
64,22,23,2026-01-01,2029-01-01
65,22,33,2029-01-01,2036-01-01
66,22,83,2036-01-01,2076-01-01
67,23,63,2029-01-01,2033-01-01
68,23,73,2033-01-01,2044-01-01
69,23,83,2044-01-01,2076-01-01
70,24,23,2032-01-01,2035-01-01
71,24,33,2035-01-01,2042-01-01
72,24,83,2042-01-01,2076-01-01
73,25,25,2026-01-01,2029-01-01
74,25,35,2029-01-01,2036-01-01
75,25,85,2036-01-01,2076-01-01
76,26,65,2029-01-01,2033-01-01
77,26,75,2033-01-01,2044-01-01
78,26,85,2044-01-01,2076-01-01
79,27,25,2032-01-01,2035-01-01
80,27,35,2035-01-01,2042-01-01
81,27,85,2042-01-01,2076-01-01
82,28,28,2026-01-01,2029-01-01
83,28,38,2029-01-01,2036-01-01
84,28,88,2036-01-01,2076-01-01
85,29,68,2029-01-01,2033-01-01
86,29,78,2033-01-01,2044-01-01
87,29,88,2044-01-01,2076-01-01
88,30,28,2032-01-01,2035-01-01
89,30,38,2035-01-01,2042-01-01
90,30,88,2042-01-01,2076-01-01
